,simulation,n_samples,criterion,n_dimensions,score,runtime
162,Logarithmic,14,mse,10,98837.60431598572,1.390317440032959
163,Logarithmic,14,mse,10,98850.61003889423,1.104670763015747
164,Logarithmic,14,mse,10,98879.08669599498,1.1228299140930176
165,Logarithmic,14,mse,10,99213.04328079312,1.161895751953125
166,Logarithmic,14,mse,10,99162.17737767097,1.0577914714813232
167,Logarithmic,14,mse,10,98943.93909884695,1.1377825736999512
168,Logarithmic,14,mse,10,99006.5544192517,1.167551040649414
169,Logarithmic,14,mse,10,99144.99377189085,1.077441692352295
170,Logarithmic,14,friedman_mse,10,98218.43333754505,1.1866495609283447
171,Logarithmic,14,friedman_mse,10,98117.13417964945,1.0742120742797852
172,Logarithmic,14,friedman_mse,10,98508.6551152547,1.0571155548095703
173,Logarithmic,14,friedman_mse,10,98762.21950750302,1.1615161895751953
174,Logarithmic,14,friedman_mse,10,98139.95791430076,1.0787484645843506
175,Logarithmic,14,friedman_mse,10,98496.94498506901,1.2048687934875488
176,Logarithmic,14,friedman_mse,10,98226.82249222467,1.0524685382843018
177,Logarithmic,14,friedman_mse,10,98498.0113295485,1.1489694118499756
178,Logarithmic,14,friedman_mse,10,98212.59196240238,1.1487560272216797
179,Logarithmic,14,friedman_mse,10,98429.61602540946,1.0701515674591064
180,Logarithmic,14,axis,10,95037.5452573252,1.9070816040039062
181,Logarithmic,14,axis,10,95203.43746729047,1.9803657531738281
182,Logarithmic,14,axis,10,94906.81543127816,1.7954065799713135
183,Logarithmic,14,axis,10,94657.14962140111,1.7503974437713623
184,Logarithmic,14,axis,10,94909.78529246287,1.814568281173706
185,Logarithmic,14,axis,10,94987.68220041718,1.5851256847381592
186,Logarithmic,14,axis,10,94827.36048161107,1.5370697975158691
187,Logarithmic,14,axis,10,94602.52591883438,1.6500532627105713
188,Logarithmic,14,axis,10,94722.99972306134,1.5324528217315674
189,Logarithmic,14,axis,10,94772.2394550739,1.6076228618621826
190,Logarithmic,14,oblique,10,94006.34551309448,1.1978356838226318
191,Logarithmic,14,oblique,10,93886.06654627953,1.272625207901001
192,Logarithmic,14,oblique,10,93906.78791155215,1.1920161247253418
193,Logarithmic,14,oblique,10,94039.71350155381,1.1805555820465088
194,Logarithmic,14,oblique,10,93895.23303072546,1.2829630374908447
195,Logarithmic,14,oblique,10,93706.92592295888,1.3548882007598877
196,Logarithmic,14,oblique,10,94071.95592818131,1.1846201419830322
197,Logarithmic,14,oblique,10,94064.41744046196,1.2052264213562012
198,Logarithmic,14,oblique,10,94041.15017393234,1.2580649852752686
