,n_samples,simulation,criterion,average,error
276,25,two_parabolas,mae,0.06415110340908797,0.0004426847048405161
277,25,two_parabolas,mse,0.06293904503043543,0.000541157633566755
278,25,two_parabolas,friedman_mse,0.059877256197587415,0.0005842213274441376
279,25,fourth_root,mae,0.19673176840079304,0.0035251938874154265
280,25,fourth_root,mse,0.192968456126287,0.0011634372606848776
281,25,fourth_root,friedman_mse,0.19234711156408932,0.0006292769799163408
282,25,multi_indept,mae,0.15707151330074304,0.0010494631560273489
283,25,multi_indept,mse,0.15558564831062655,0.0007439457395386994
284,25,multi_indept,friedman_mse,0.15723611302885537,0.0016474887284053513
285,25,bernoulli,mae,58.92373374710111,0.1728386980454954
286,25,bernoulli,mse,58.450820322568134,0.3658562383192653
287,25,bernoulli,friedman_mse,59.6553992989525,0.20926741031813753
288,25,square,mae,0.08435437560571232,0.00015826613694539882
289,25,square,mse,0.08436974525523937,8.021905331677885e-05
290,25,square,friedman_mse,0.08457254445040106,0.00016311623342082633
291,25,linear,mae,0.7733563353181776,0.0035739289356096168
292,25,linear,mse,0.766877923936296,0.003489713711055425
293,25,linear,friedman_mse,0.7618868417227496,0.0043802493385576785
294,25,exponential,mae,456.7842996495748,6.956486926261022
295,25,exponential,mse,517.7464352837806,6.066453412965652
296,25,exponential,friedman_mse,554.029345438256,1.369358879582246
297,25,cubic,mae,161.50146728529452,3.325124918146089
298,25,cubic,mse,155.47076147874657,3.5644100049830953
299,25,cubic,friedman_mse,142.21689937289062,2.2183543461838675
300,30,joint_normal,mae,1.4656668868986005,0.0128028092520655
301,30,joint_normal,mse,1.4551479644428238,0.01008211925717533
302,30,joint_normal,friedman_mse,1.4169617671303376,0.004127206604271334
303,30,sine_4pi,mae,0.10228469903473489,0.00014238372482338607
304,30,sine_4pi,mse,0.1025630611742109,0.00018199926789026855
305,30,sine_4pi,friedman_mse,0.1021577078218974,0.00011382532264223788
306,30,sine_16pi,mae,0.10278227630423778,0.00014355815520433442
307,30,sine_16pi,mse,0.1023290134797427,7.510229828020253e-05
308,30,sine_16pi,friedman_mse,0.10248174209593239,0.0001657383194432
309,30,multi_noise,mae,0.14607961555451354,0.00023125232560613622
310,30,multi_noise,mse,0.1446063912894569,0.0003074012309897965
311,30,multi_noise,friedman_mse,0.14531295823201035,0.00017033797999837098
312,30,step,mae,0.5304214138220328,0.0033364136289735064
313,30,step,mse,0.5289401953365267,0.0018226617173019964
314,30,step,friedman_mse,0.5274595627364951,0.002042059691230172
315,30,spiral,mae,225.1361485282784,2.214905321530746
316,30,spiral,mse,226.51352626878958,2.367339151820515
317,30,spiral,friedman_mse,221.8789802439174,2.033484995517757
318,30,circle,mae,0.10335801142527061,0.0005570957573672219
319,30,circle,mse,0.10446536899336747,0.0007411812295494261
320,30,circle,friedman_mse,0.10574206675949245,0.001580195515944676
321,30,ellipse,mae,0.10260867938866307,0.00046338387899917867
322,30,ellipse,mse,0.10625741711653285,0.0010636776548167888
323,30,ellipse,friedman_mse,0.10647951805165065,0.0012858234036940224
324,30,diamond,mae,0.08420413387575908,6.739554740323637e-05
325,30,diamond,mse,0.08405974999987606,9.939319964005781e-05
326,30,diamond,friedman_mse,0.08382167036961781,0.00012428839929648643
327,30,log,mae,0.4438921675791822,0.0008122670092452019
328,30,log,mse,0.45201952905236,0.0014913910291559432
329,30,log,friedman_mse,0.45015713101458876,0.0007936206673360689
330,30,quadratic,mae,3.5240057750073084,0.013496002235958338
331,30,quadratic,mse,3.3240976886237226,0.026108765014230147
332,30,quadratic,friedman_mse,3.385788920838954,0.013985006888855196
333,30,w_shape,mae,3.3833728323624173,0.1583279600499507
334,30,w_shape,mse,4.846030013367397,0.15261920198215084
335,30,w_shape,friedman_mse,5.302999331277496,0.13095465538297513
336,30,two_parabolas,mae,0.06353501307729997,0.0003276805174132482
337,30,two_parabolas,mse,0.06158602944854832,0.0002774031761909755
338,30,two_parabolas,friedman_mse,0.06007202968281315,0.0004453357198871268
339,30,fourth_root,mae,0.202612249170481,0.001976037052328717
340,30,fourth_root,mse,0.1993318848484214,0.001141653424692488
341,30,fourth_root,friedman_mse,0.1959802131916461,0.001826812405200113
342,30,multi_indept,mae,0.15564737925764635,0.0007104508452780433
