,sim,n_samples,n_dim,split,mse
140,cub_sim,30,8,mae,326.48173112661044
141,cub_sim,30,8,mae,5789.020625459608
142,cub_sim,30,8,mae,885.7959112424019
143,cub_sim,30,8,mae,26783.893531092475
144,cub_sim,30,8,mae,1689.584524288315
145,cub_sim,30,8,mae,801.2863873820921
146,cub_sim,30,8,mae,171.6744431106742
147,cub_sim,30,8,mae,11173.442105912003
148,cub_sim,30,8,mae,632.5718531230276
149,cub_sim,30,8,mae,45.91227885735257
150,spiral_sim,30,8,mae,3.488648249064952
151,spiral_sim,30,8,mae,3.274190039445331
152,spiral_sim,30,8,mae,3.696461566684049
153,spiral_sim,30,8,mae,3.0977701292269897
154,spiral_sim,30,8,mae,3.139635486414491
155,spiral_sim,30,8,mae,2.685095664090687
156,spiral_sim,30,8,mae,3.513294354226939
157,spiral_sim,30,8,mae,6.429738256373492
158,spiral_sim,30,8,mae,3.2350013332178587
159,spiral_sim,30,8,mae,0.5159800690623705
160,cub_sim,30,9,mae,488.117145203243
161,cub_sim,30,9,mae,1161.5947829648633
162,cub_sim,30,9,mae,2086.097808955312
163,cub_sim,30,9,mae,551.7196625633696
164,cub_sim,30,9,mae,970.4407953337229
165,cub_sim,30,9,mae,23185.976956946037
166,cub_sim,30,9,mae,6722.468173960652
167,cub_sim,30,9,mae,12092.756516467141
168,cub_sim,30,9,mae,11247.88350413435
169,cub_sim,30,9,mae,7174.184169086478
170,spiral_sim,30,9,mae,3.3641847755877374
171,spiral_sim,30,9,mae,3.892130141066333
172,spiral_sim,30,9,mae,4.181937334486784
173,spiral_sim,30,9,mae,3.57673380704157
174,spiral_sim,30,9,mae,4.977920813900529
175,spiral_sim,30,9,mae,3.915924956927137
176,spiral_sim,30,9,mae,8.058032697949162
177,spiral_sim,30,9,mae,4.789058328537651
178,spiral_sim,30,9,mae,2.8829964275018645
179,spiral_sim,30,9,mae,4.912161844067353
180,cub_sim,30,1,mse,260.9261025281192
181,cub_sim,30,1,mse,101.81070620547412
182,cub_sim,30,1,mse,229.5469356148756
183,cub_sim,30,1,mse,652.1061184044187
184,cub_sim,30,1,mse,163.96121079171107
185,cub_sim,30,1,mse,216.64932756797677
186,cub_sim,30,1,mse,207.20437584048173
187,cub_sim,30,1,mse,249.17131245285296
188,cub_sim,30,1,mse,754.4456074329594
189,cub_sim,30,1,mse,151.3771321024424
190,spiral_sim,30,1,mse,0.8890816802057024
191,spiral_sim,30,1,mse,1.3556887293659783
192,spiral_sim,30,1,mse,0.6619634304937246
193,spiral_sim,30,1,mse,0.9420720042094549
194,spiral_sim,30,1,mse,2.0435466820788464
195,spiral_sim,30,1,mse,0.8716228313407529
196,spiral_sim,30,1,mse,0.9978975684827817
197,spiral_sim,30,1,mse,1.4301265205320681
