,n_samples,n_dim,split,mse
432,50,9,mae,0.39657478615314135
433,50,9,mae,0.4200722258159663
434,50,9,mae,0.4100974891620213
435,50,9,mae,0.41626841063898773
436,50,9,mae,0.4187328186660638
437,50,9,mae,0.4042931314394905
438,50,9,mae,0.4305221838423013
439,50,9,mae,0.4279362199528778
440,50,10,mae,0.45367538913763844
441,50,10,mae,0.42733260359774117
442,50,10,mae,0.4272133355168578
443,50,10,mae,0.4369694805194095
444,50,10,mae,0.4294462030404526
445,50,10,mae,0.4231089079123837
446,50,10,mae,0.4470656433106204
447,50,10,mae,0.45813558717867686
448,50,10,mae,0.442470108952322
449,50,10,mae,0.4006967607373739
450,60,2,mae,0.16885301903640268
451,60,2,mae,0.14889707473399277
452,60,2,mae,0.1557994986412517
453,60,2,mae,0.14964049466710289
454,60,2,mae,0.1685574946618747
455,60,2,mae,0.13172235041700434
456,60,2,mae,0.13308784702854862
457,60,2,mae,0.14576010778094153
458,60,2,mae,0.1373870288267533
459,60,2,mae,0.12715097477301893
460,60,3,mae,0.20637690091231248
461,60,3,mae,0.2076264359942755
462,60,3,mae,0.19966400817538318
463,60,3,mae,0.17896781132841336
464,60,3,mae,0.22029181977901696
465,60,3,mae,0.19621824059766635
466,60,3,mae,0.1950243328066416
467,60,3,mae,0.20152019083226233
468,60,3,mae,0.23130819179490386
469,60,3,mae,0.20212589380291016
470,60,4,mae,0.23916229721839233
471,60,4,mae,0.2575021316740115
472,60,4,mae,0.2505425132267439
473,60,4,mae,0.25329092509105816
474,60,4,mae,0.2511251596265167
475,60,4,mae,0.2553096961944945
476,60,4,mae,0.23491883614393477
477,60,4,mae,0.2526745199246821
478,60,4,mae,0.24157710547296346
479,60,4,mae,0.2225144880665216
480,60,5,mae,0.26205524133843716
481,60,5,mae,0.29704357898054123
482,60,5,mae,0.28981819931252856
483,60,5,mae,0.27183931755023333
484,60,5,mae,0.27643563733926435
485,60,5,mae,0.2894466390701991
486,60,5,mae,0.2983238678209058
487,60,5,mae,0.28765047550745887
488,60,5,mae,0.27702904101377873
489,60,5,mae,0.27343138834618247
490,60,6,mae,0.3173298839829009
491,60,6,mae,0.30448007609382904
492,60,6,mae,0.31140501869673864
493,60,6,mae,0.3120611676051327
494,60,6,mae,0.32396548327755703
495,60,6,mae,0.3163294922552225
496,60,6,mae,0.2978432129848939
497,60,6,mae,0.3090609278693517
498,60,6,mae,0.31290226246172986
499,60,6,mae,0.31707526956142573
500,60,7,mae,0.3213092095917153
501,60,7,mae,0.33341086730963304
502,60,7,mae,0.3384741071605539
503,60,7,mae,0.3274962358879024
