,n_samples,n_dim,scale,split,mse
147,30,3,1.4285714285714286,mae,3.7723485929830916
148,30,3,1.4285714285714286,mae,2.488455337391904
149,30,3,1.4285714285714286,mae,4.678031610677658
150,30,3,1.5306122448979593,mae,3.006788838957263
151,30,3,1.5306122448979593,mae,3.8832704563947416
152,30,3,1.5306122448979593,mae,2.6227460223787413
153,30,3,1.5306122448979593,mae,3.2593839402616114
154,30,3,1.5306122448979593,mae,3.726844632607831
155,30,3,1.5306122448979593,mae,1.919486383080574
156,30,3,1.5306122448979593,mae,3.0596044190374507
157,30,3,1.5306122448979593,mae,2.7510841289927437
158,30,3,1.5306122448979593,mae,2.1543422668875483
159,30,3,1.5306122448979593,mae,2.255730406041185
160,30,3,1.6326530612244898,mae,1.407654629485086
161,30,3,1.6326530612244898,mae,3.0686933286402485
162,30,3,1.6326530612244898,mae,1.7375739229194072
163,30,3,1.6326530612244898,mae,4.212754565094673
164,30,3,1.6326530612244898,mae,3.7985839552157072
165,30,3,1.6326530612244898,mae,4.493778103086336
166,30,3,1.6326530612244898,mae,3.729563337874143
167,30,3,1.6326530612244898,mae,3.482174798735753
168,30,3,1.6326530612244898,mae,4.690808689507802
169,30,3,1.6326530612244898,mae,3.372972277409749
170,30,3,1.7346938775510203,mae,4.244840027145671
171,30,3,1.7346938775510203,mae,3.066781277379183
172,30,3,1.7346938775510203,mae,3.2515599875030317
173,30,3,1.7346938775510203,mae,2.284311102796578
174,30,3,1.7346938775510203,mae,3.886752477990981
175,30,3,1.7346938775510203,mae,3.6734065763270305
176,30,3,1.7346938775510203,mae,2.440270160805923
177,30,3,1.7346938775510203,mae,3.5554761779932234
178,30,3,1.7346938775510203,mae,4.109656131826606
179,30,3,1.7346938775510203,mae,2.6607811734344784
180,30,3,1.836734693877551,mae,3.4665192663977584
181,30,3,1.836734693877551,mae,3.9280441864727114
182,30,3,1.836734693877551,mae,4.55964791303574
183,30,3,1.836734693877551,mae,3.7521401478123053
184,30,3,1.836734693877551,mae,4.32761460794752
185,30,3,1.836734693877551,mae,4.075965805745167
186,30,3,1.836734693877551,mae,2.7698692596908296
187,30,3,1.836734693877551,mae,4.0503940827642095
188,30,3,1.836734693877551,mae,3.1369757873591926
189,30,3,1.836734693877551,mae,1.7129886880030276
190,30,3,1.9387755102040818,mae,3.7819433588551212
191,30,3,1.9387755102040818,mae,2.6813744327893123
192,30,3,1.9387755102040818,mae,3.271560857819689
193,30,3,1.9387755102040818,mae,5.634982652012779
194,30,3,1.9387755102040818,mae,3.372950751755003
195,30,3,1.9387755102040818,mae,3.764907280150744
196,30,3,1.9387755102040818,mae,7.263235869269049
197,30,3,1.9387755102040818,mae,4.6144059938702355
198,30,3,1.9387755102040818,mae,2.447576147435149
199,30,3,1.9387755102040818,mae,4.914362679503768
200,30,3,2.0408163265306123,mae,3.5024752661531036
201,30,3,2.0408163265306123,mae,4.866390123809423
202,30,3,2.0408163265306123,mae,4.056469889857209
203,30,3,2.0408163265306123,mae,5.157301891994859
204,30,3,2.0408163265306123,mae,2.6583903607720543
205,30,3,2.0408163265306123,mae,5.971709287901264
206,30,3,2.0408163265306123,mae,1.5876316545267726
