,n_samples,simulation,criterion,average,error
226,20,bernoulli,mse,1.7200480591136813,0.0142185321675916
227,20,bernoulli,friedman_mse,1.6897745049365116,0.013922661987346973
228,20,square,mae,0.06049479639180867,0.00024465006756921526
229,20,square,mse,0.06071097404887452,0.0002531970862360995
230,20,square,friedman_mse,0.0603152240738956,0.00030311542379368343
231,20,linear,mae,0.7927893119917273,0.005491813197327462
232,20,linear,mse,0.7692294887419763,0.0042900840035705835
233,20,linear,friedman_mse,0.7822498127504526,0.008815114812977858
234,20,exponential,mae,181.18660151270777,2.817895043394782
235,20,exponential,mse,188.17847236512077,1.1408737126742508
236,20,exponential,friedman_mse,172.7881035383055,2.317142054487359
237,20,cubic,mae,165.0291730280539,1.0162653393334191
238,20,cubic,mse,147.24052158781106,2.718733816883434
239,20,cubic,friedman_mse,144.34799539959667,2.3134448311174713
240,25,joint_normal,mae,0.1100942551367557,0.0004558566698065496
241,25,joint_normal,mse,0.10994334965479755,0.00028848816658850714
242,25,joint_normal,friedman_mse,0.11147976279904055,0.0003824080650465134
243,25,sine_4pi,mae,0.07232934368360963,0.0002048369042053679
244,25,sine_4pi,mse,0.07274063088633378,0.00012708861833431233
245,25,sine_4pi,friedman_mse,0.07218975366276895,0.00022632100973465783
246,25,sine_16pi,mae,0.07275138767424365,0.00022054528159743683
247,25,sine_16pi,mse,0.07206116128377218,0.00015538392558054614
248,25,sine_16pi,friedman_mse,0.07236326021568615,0.00015948251132746246
249,25,multi_noise,mae,0.10267603096069973,0.00032597895358806766
250,25,multi_noise,mse,0.1055141125689167,0.0002489508284173731
251,25,multi_noise,friedman_mse,0.10098395947515518,0.00028742512742655396
252,25,step,mae,0.5447130706334636,0.0021940346638834535
253,25,step,mse,0.5476669288299982,0.0032037831686583607
254,25,step,friedman_mse,0.5448638454258816,0.0021451234864467723
255,25,spiral,mae,5.158845707099415,0.07526680712935052
256,25,spiral,mse,5.036473491756626,0.06353956516248525
257,25,spiral,friedman_mse,4.911129428240309,0.08807604269933843
258,25,circle,mae,0.07435468912908565,0.0006156608110879935
259,25,circle,mse,0.07645217680402978,0.0007611965268315473
260,25,circle,friedman_mse,0.07807968149721606,0.0008440316271907276
261,25,ellipse,mae,0.07419575452021546,0.0005388336901877165
262,25,ellipse,mse,0.07626167319618543,0.0006826101799072927
263,25,ellipse,friedman_mse,0.07828482700914699,0.001066949283887815
264,25,diamond,mae,0.060159717577696316,0.00017134022385877665
265,25,diamond,mse,0.06025439835959638,0.00020732060534020173
